,offset,name,type,time,OK
0,-2.5726899999999997,tran_LayGtKttmmTtVt_29,Lay,Mon Apr 28 21:27:25 2025,True
1,7.550457,tran_LayGtKttmmTtVt_28,Lay,Mon Apr 28 21:27:24 2025,True
2,-0.5412164,tran_LayGtKttmmTtVt_27,Lay,Mon Apr 28 21:27:23 2025,True
3,-5.046437,tran_LayGtKttmmTtVt_26,Lay,Mon Apr 28 21:27:22 2025,True
4,-8.747682999999999,tran_LayGtKttmmTtVt_25,Lay,Mon Apr 28 21:27:21 2025,True
5,4.553434,tran_LayGtKttmmTtVt_24,Lay,Mon Apr 28 21:27:20 2025,True
6,1.4570850000000002,tran_LayGtKttmmTtVt_23,Lay,Mon Apr 28 21:27:19 2025,True
7,5.033263,tran_LayGtKttmmTtVt_22,Lay,Mon Apr 28 21:27:18 2025,True
8,-2.407543,tran_LayGtKttmmTtVt_21,Lay,Mon Apr 28 21:27:17 2025,True
9,6.859654,tran_LayGtKttmmTtVt_20,Lay,Mon Apr 28 21:27:15 2025,True
10,8.796338,tran_LayGtKttmmTtVt_19,Lay,Mon Apr 28 21:27:14 2025,True
11,-6.388266,tran_LayGtKttmmTtVt_18,Lay,Mon Apr 28 21:27:13 2025,True
12,-2.1617390000000003,tran_LayGtKttmmTtVt_17,Lay,Mon Apr 28 21:27:12 2025,True
13,1.902161,tran_LayGtKttmmTtVt_16,Lay,Mon Apr 28 21:27:11 2025,True
14,4.113336,tran_LayGtKttmmTtVt_15,Lay,Mon Apr 28 21:27:10 2025,True
15,11.02853,tran_LayGtKttmmTtVt_14,Lay,Mon Apr 28 21:27:09 2025,True
16,-1.376393,tran_LayGtKttmmTtVt_13,Lay,Mon Apr 28 21:27:08 2025,True
17,1.5665419999999999,tran_LayGtKttmmTtVt_12,Lay,Mon Apr 28 21:27:07 2025,True
18,-0.1799252,tran_LayGtKttmmTtVt_11,Lay,Mon Apr 28 21:27:06 2025,True
19,8.531767,tran_LayGtKttmmTtVt_10,Lay,Mon Apr 28 21:27:05 2025,True
20,-7.295313999999999,tran_LayGtKttmmTtVt_9,Lay,Mon Apr 28 21:27:04 2025,True
21,-2.487288,tran_LayGtKttmmTtVt_8,Lay,Mon Apr 28 21:27:03 2025,True
22,-4.485894,tran_LayGtKttmmTtVt_7,Lay,Mon Apr 28 21:27:02 2025,True
23,1.319291,tran_LayGtKttmmTtVt_6,Lay,Mon Apr 28 21:27:01 2025,True
24,-10.454130000000001,tran_LayGtKttmmTtVt_5,Lay,Mon Apr 28 21:27:00 2025,True
25,3.524562,tran_LayGtKttmmTtVt_4,Lay,Mon Apr 28 21:26:59 2025,True
26,3.259989,tran_LayGtKttmmTtVt_3,Lay,Mon Apr 28 21:26:58 2025,True
27,3.187067,tran_LayGtKttmmTtVt_2,Lay,Mon Apr 28 21:26:57 2025,True
28,-13.253829999999999,tran_LayGtKttmmTtVt_1,Lay,Mon Apr 28 21:26:56 2025,True
29,-2.336402,tran_LayGtKttmmTtVt,Lay,Mon Apr 28 21:26:55 2025,True
