,offset,name,type,time,OK
0,0.199381,tran_SchGtKfsTlVh,Sch,Thu Mar 13 13:23:18 2025,True
1,-0.4056461,tran_SchGtKsfTlVh,Sch,Thu Mar 13 13:23:14 2025,True
2,0.058418309999999994,tran_SchGtKffTlVh,Sch,Thu Mar 13 13:23:11 2025,True
3,-0.2726654,tran_SchGtKssTlVh,Sch,Thu Mar 13 13:23:08 2025,True
4,2.1857740000000003,tran_SchGtKfsThVh,Sch,Thu Mar 13 13:23:05 2025,True
5,1.0293590000000001,tran_SchGtKsfThVh,Sch,Thu Mar 13 13:23:02 2025,True
6,1.904948,tran_SchGtKffThVh,Sch,Thu Mar 13 13:22:59 2025,True
7,1.2562529999999998,tran_SchGtKssThVh,Sch,Thu Mar 13 13:22:56 2025,True
8,-1.207929,tran_SchGtKfsTlVl,Sch,Thu Mar 13 13:22:54 2025,True
9,-1.717932,tran_SchGtKsfTlVl,Sch,Thu Mar 13 13:22:51 2025,True
10,-1.330187,tran_SchGtKffTlVl,Sch,Thu Mar 13 13:22:48 2025,True
11,-1.597745,tran_SchGtKssTlVl,Sch,Thu Mar 13 13:22:46 2025,True
12,0.6216825,tran_SchGtKfsThVl,Sch,Thu Mar 13 13:22:43 2025,True
13,-0.289188,tran_SchGtKsfThVl,Sch,Thu Mar 13 13:22:40 2025,True
14,0.3517577,tran_SchGtKffThVl,Sch,Thu Mar 13 13:22:37 2025,True
15,-0.09230195,tran_SchGtKssThVl,Sch,Thu Mar 13 13:22:34 2025,True
