,vref27,i_temp27,name,type,time,OK
0,1.158468,3.617992,tran_SchGtKfsTlVhNosweep,Sch,Mon Feb 24 21:48:22 2025,False
1,1.157414,3.607432,tran_SchGtKsfTlVhNosweep,Sch,Mon Feb 24 21:48:22 2025,False
2,1.163131,4.176346000000001,tran_SchGtKffTlVhNosweep,Sch,Mon Feb 24 21:48:22 2025,True
3,1.152734,3.1715079999999998,tran_SchGtKssTlVhNosweep,Sch,Mon Feb 24 21:48:22 2025,False
4,1.158468,3.617992,tran_SchGtKfsThVhNosweep,Sch,Mon Feb 24 21:48:22 2025,False
5,1.157414,3.607432,tran_SchGtKsfThVhNosweep,Sch,Mon Feb 24 21:48:22 2025,False
6,1.163131,4.176346000000001,tran_SchGtKffThVhNosweep,Sch,Mon Feb 24 21:48:22 2025,True
7,1.152734,3.1715079999999998,tran_SchGtKssThVhNosweep,Sch,Mon Feb 24 21:48:22 2025,False
8,1.158468,3.617992,tran_SchGtKfsTlVlNosweep,Sch,Mon Feb 24 21:48:22 2025,False
9,1.157414,3.607432,tran_SchGtKsfTlVlNosweep,Sch,Mon Feb 24 21:48:22 2025,False
10,1.163131,4.176346000000001,tran_SchGtKffTlVlNosweep,Sch,Mon Feb 24 21:48:22 2025,True
11,1.152734,3.1715079999999998,tran_SchGtKssTlVlNosweep,Sch,Mon Feb 24 21:48:22 2025,False
12,1.158468,3.617992,tran_SchGtKfsThVlNosweep,Sch,Mon Feb 24 21:48:22 2025,False
13,1.157414,3.607432,tran_SchGtKsfThVlNosweep,Sch,Mon Feb 24 21:48:21 2025,False
14,1.163131,4.176346000000001,tran_SchGtKffThVlNosweep,Sch,Mon Feb 24 21:48:21 2025,True
15,1.152734,3.1715079999999998,tran_SchGtKssThVlNosweep,Sch,Mon Feb 24 21:48:21 2025,False
