,vref27,i_temp27,name,type,time,OK
0,1.183394,2.11764,tran_SchGtKttmmTtVtNosweep_29,Sch,Thu Feb 27 18:17:52 2025,True
1,1.338796,2.34022,tran_SchGtKttmmTtVtNosweep_28,Sch,Thu Feb 27 18:17:52 2025,False
2,1.039207,1.404818,tran_SchGtKttmmTtVtNosweep_27,Sch,Thu Feb 27 18:17:52 2025,True
3,1.167832,1.7226240000000002,tran_SchGtKttmmTtVtNosweep_26,Sch,Thu Feb 27 18:17:52 2025,True
4,1.422149,2.679425,tran_SchGtKttmmTtVtNosweep_25,Sch,Thu Feb 27 18:17:52 2025,False
5,1.166013,1.936788,tran_SchGtKttmmTtVtNosweep_24,Sch,Thu Feb 27 18:17:52 2025,True
6,1.351796,2.445029,tran_SchGtKttmmTtVtNosweep_23,Sch,Thu Feb 27 18:17:52 2025,False
7,1.260826,2.145768,tran_SchGtKttmmTtVtNosweep_22,Sch,Thu Feb 27 18:17:52 2025,True
8,0.8701021,0.8023225,tran_SchGtKttmmTtVtNosweep_21,Sch,Thu Feb 27 18:17:52 2025,False
9,1.379864,2.482279,tran_SchGtKttmmTtVtNosweep_20,Sch,Thu Feb 27 18:17:52 2025,False
10,1.31451,2.26772,tran_SchGtKttmmTtVtNosweep_19,Sch,Thu Feb 27 18:17:52 2025,False
11,1.26871,2.228403,tran_SchGtKttmmTtVtNosweep_18,Sch,Thu Feb 27 18:17:52 2025,True
12,1.047207,1.416253,tran_SchGtKttmmTtVtNosweep_17,Sch,Thu Feb 27 18:17:52 2025,True
13,1.143131,1.7032770000000002,tran_SchGtKttmmTtVtNosweep_16,Sch,Thu Feb 27 18:17:52 2025,True
14,1.335835,2.4648250000000003,tran_SchGtKttmmTtVtNosweep_15,Sch,Thu Feb 27 18:17:52 2025,False
15,1.328136,2.367285,tran_SchGtKttmmTtVtNosweep_14,Sch,Thu Feb 27 18:17:52 2025,False
16,1.187207,1.9930740000000002,tran_SchGtKttmmTtVtNosweep_13,Sch,Thu Feb 27 18:17:52 2025,True
17,1.300056,2.3745849999999997,tran_SchGtKttmmTtVtNosweep_12,Sch,Thu Feb 27 18:17:52 2025,False
18,1.042898,1.4061890000000001,tran_SchGtKttmmTtVtNosweep_11,Sch,Thu Feb 27 18:17:52 2025,True
19,1.140059,1.7808430000000002,tran_SchGtKttmmTtVtNosweep_10,Sch,Thu Feb 27 18:17:52 2025,True
20,1.093089,1.4842769999999998,tran_SchGtKttmmTtVtNosweep_9,Sch,Thu Feb 27 18:17:52 2025,True
21,1.170649,1.877602,tran_SchGtKttmmTtVtNosweep_8,Sch,Thu Feb 27 18:17:52 2025,True
22,1.078212,1.5598699999999999,tran_SchGtKttmmTtVtNosweep_7,Sch,Thu Feb 27 18:17:51 2025,True
23,1.116909,1.653608,tran_SchGtKttmmTtVtNosweep_6,Sch,Thu Feb 27 18:17:51 2025,True
24,1.228449,1.9740870000000001,tran_SchGtKttmmTtVtNosweep_5,Sch,Thu Feb 27 18:17:51 2025,True
25,1.054591,1.427325,tran_SchGtKttmmTtVtNosweep_4,Sch,Thu Feb 27 18:17:51 2025,True
26,1.067528,1.523086,tran_SchGtKttmmTtVtNosweep_3,Sch,Thu Feb 27 18:17:51 2025,True
27,1.287724,2.1368609999999997,tran_SchGtKttmmTtVtNosweep_2,Sch,Thu Feb 27 18:17:51 2025,True
28,1.146501,1.817177,tran_SchGtKttmmTtVtNosweep_1,Sch,Thu Feb 27 18:17:51 2025,True
29,1.215086,1.9537419999999999,tran_SchGtKttmmTtVtNosweep,Sch,Thu Feb 27 18:17:51 2025,True
